,0
0,9
1,8
2,8
3,5
4,5
5,1
6,3
7,7
8,5
9,2
10,9
11,5
12,4
13,6
14,7
15,3
16,2
17,0
18,9
19,5
20,0
21,2
22,4
23,0
24,1
25,1
26,0
27,8
28,5
29,3
30,6
31,5
32,6
33,1
34,1
35,7
36,3
37,0
38,6
39,7
40,5
41,0
42,1
43,1
44,1
45,5
46,4
47,5
48,2
49,4
50,2
51,8
52,9
53,1
54,3
55,5
56,1
57,7
58,4
59,5
60,1
61,1
62,9
63,4
64,0
65,7
66,2
67,5
68,9
69,2
70,9
71,2
72,1
73,5
74,2
75,0
76,4
77,3
78,9
79,8
80,7
81,0
82,4
83,9
84,8
85,2
86,3
87,7
88,0
89,1
90,3
91,4
92,5
93,7
94,0
95,3
96,4
97,0
98,6
99,4
100,3
101,7
102,3
103,7
104,4
105,9
106,9
107,7
108,7
109,1
110,3
111,6
112,5
113,8
114,1
115,0
116,8
117,9
118,0
119,1
120,0
121,8
122,7
123,5
124,4
125,4
126,1
127,3
128,2
129,7
130,1
131,2
132,0
133,5
134,0
135,6
136,8
137,7
138,1
139,3
140,3
141,1
142,3
143,8
144,0
145,5
146,8
147,1
148,1
149,8
150,9
151,1
152,1
153,7
154,2
155,2
156,3
157,4
158,0
159,1
160,5
161,6
162,3
163,3
164,3
165,7
166,7
167,1
168,0
169,5
170,8
171,7
172,3
173,9
174,1
175,9
176,2
177,3
178,8
179,9
180,6
181,5
182,2
183,2
184,6
185,2
186,9
187,2
188,2
189,5
190,2
191,9
192,5
193,1
194,9
195,8
196,8
197,5
198,7
199,1
200,8
201,4
202,1
203,4
204,3
205,1
206,1
207,8
208,8
209,4
210,2
211,0
212,1
213,8
214,7
215,2
216,7
217,8
218,3
219,1
220,7
221,1
222,2
223,4
224,3
225,1
226,6
227,5
228,0
229,2
230,9
231,1
232,5
233,9
234,7
235,5
236,3
237,9
238,7
239,2
240,2
241,2
242,6
243,1
244,1
245,3
246,9
247,0
248,0
249,7
250,6
251,5
252,6
253,4
254,2
255,9
256,5
257,3
258,6
259,6
260,1
261,1
262,2
263,6
264,1
265,6
266,7
267,2
268,0
269,1
270,8
271,9
272,1
273,7
274,8
275,7
276,3
277,7
278,0
279,0
280,1
281,5
282,5
283,8
284,4
285,4
286,4
287,4
288,9
289,9
290,2
291,0
292,3
293,1
294,7
295,1
296,5
297,2
298,7
299,2
300,4
301,3
302,3
303,5
304,3
305,8
306,0
307,8
308,9
309,7
310,1
311,9
312,0
313,8
314,6
315,6
316,5
317,9
318,0
319,2
320,1
321,4
322,9
323,8
324,5
325,7
326,1
327,8
328,5
329,1
330,0
331,4
332,2
333,4
334,7
335,3
336,1
337,9
338,6
339,0
340,9
341,9
342,1
343,2
344,4
345,1
346,6
347,9
348,6
349,2
350,6
351,4
352,3
353,9
354,9
355,8
356,2
357,7
358,6
359,6
360,6
361,0
362,7
363,4
364,8
365,4
366,3
367,4
368,0
369,0
370,4
371,7
372,1
373,5
374,3
375,0
376,1
377,6
378,6
379,7
380,1
381,2
382,0
383,9
384,2
385,4
386,1
387,5
388,4
389,7
390,1
391,4
392,1
393,7
394,2
395,1
396,5
397,2
398,7
399,1
400,3
401,2
402,1
403,1
404,8
405,4
406,9
407,5
408,4
409,0
410,4
411,6
412,2
413,0
414,9
415,6
416,4
417,4
418,5
419,3
420,2
421,5
422,9
423,1
424,7
425,5
426,0
427,0
428,8
429,3
430,0
431,0
432,7
433,3
434,1
435,3
436,9
437,5
438,3
439,3
440,7
441,2
442,9
443,0
444,8
445,2
446,8
447,0
448,7
449,1
450,7
451,6
452,3
453,0
454,6
455,4
456,3
457,7
458,6
459,7
460,4
461,2
462,0
463,9
464,2
465,2
466,6
467,2
468,8
469,6
470,4
471,5
472,2
473,3
474,6
475,9
476,8
477,5
478,5
479,2
480,4
481,2
482,1
483,5
484,3
485,8
486,6
487,9
488,2
489,6
490,1
491,4
492,6
493,5
494,1
495,1
496,7
497,3
498,8
499,3
500,8
501,8
502,1
503,9
504,8
505,1
506,6
507,3
508,4
509,2
510,2
511,8
512,3
513,3
514,4
515,5
516,2
517,7
518,0
519,3
520,9
521,5
522,4
523,7
524,4
525,8
526,0
527,7
528,9
529,3
530,1
531,8
532,4
533,8
534,0
535,3
536,7
537,0
538,9
539,5
540,3
541,8
542,0
543,5
544,1
545,3
546,6
547,9
548,6
549,5
550,9
551,7
552,1
553,5
554,6
555,5
556,2
557,1
558,0
559,6
560,2
561,2
562,9
563,9
564,1
565,6
566,3
567,3
568,3
569,7
570,2
571,9
572,8
573,5
574,0
575,1
576,6
577,6
578,0
579,1
580,1
581,8
582,7
583,4
584,4
585,9
586,9
587,0
588,8
589,8
590,6
591,7
592,1
593,4
594,3
595,6
596,8
597,8
598,1
599,1
600,6
601,9
602,8
603,1
604,1
605,1
606,6
607,1
608,6
609,9
610,3
611,3
612,0
613,5
614,7
615,7
616,5
617,7
618,5
619,5
620,3
621,0
622,0
623,1
624,3
625,4
626,8
627,8
628,8
629,7
630,7
631,2
632,8
633,6
634,4
635,9
636,4
637,8
638,0
639,6
640,6
641,9
642,5
643,1
644,0
645,6
646,1
647,6
648,7
649,1
650,3
651,2
652,4
653,0
654,7
655,9
656,3
657,4
658,4
659,3
660,2
661,5
662,0
663,4
664,5
665,5
666,6
667,8
668,5
669,6
670,4
671,4
672,8
673,6
674,0
675,9
676,4
677,1
678,7
679,3
680,1
681,7
682,9
683,9
684,9
685,2
686,8
687,0
688,5
689,1
690,4
691,3
692,2
693,4
694,3
695,1
696,5
697,8
698,1
699,4
700,4
701,1
702,7
703,7
704,5
705,6
706,3
707,2
708,0
709,3
710,9
711,1
712,9
713,4
714,5
715,1
716,3
717,9
718,9
719,4
720,3
721,2
722,8
723,1
724,8
725,6
726,4
727,1
728,9
729,0
730,2
731,0
732,9
733,0
734,5
735,1
736,5
737,0
738,8
739,0
740,9
741,3
742,8
743,1
744,8
745,7
746,1
747,8
748,6
749,6
750,4
751,0
752,8
753,6
754,3
755,7
756,9
757,2
758,2
759,5
760,1
761,4
762,3
763,3
764,6
765,9
766,1
767,0
768,7
769,2
770,5
771,4
772,7
773,5
774,1
775,9
776,9
777,3
778,4
779,3
780,3
781,8
782,8
783,7
784,0
785,8
786,3
787,7
788,2
789,1
790,8
791,6
792,1
793,2
794,7
795,9
796,1
797,0
798,6
799,5
800,0
801,2
802,3
803,9
804,1
805,7
806,0
807,8
808,6
809,2
810,4
811,9
812,5
813,7
814,2
815,9
816,2
817,3
818,8
819,2
820,1
821,7
822,5
823,1
824,4
825,5
826,1
827,8
828,1
829,7
830,4
831,4
832,1
833,3
834,7
835,0
836,5
837,8
838,9
839,2
840,6
841,5
842,1
843,1
844,5
845,1
846,8
847,4
848,2
849,5
850,5
851,8
852,7
853,6
854,4
855,0
856,7
857,9
858,8
859,6
860,0
861,8
862,7
863,4
864,8
865,2
866,6
867,4
868,7
869,2
870,8
871,8
872,3
873,9
874,9
875,1
876,4
877,0
878,2
879,1
880,0
881,0
882,0
883,9
884,2
885,3
886,8
887,3
888,1
889,9
890,3
891,0
892,2
893,8
894,6
895,0
896,8
897,7
898,4
899,5
900,6
901,2
902,8
903,4
904,3
905,0
906,0
907,0
908,7
909,7
910,8
911,4
912,8
913,6
914,4
915,2
916,1
917,2
918,0
919,6
920,7
921,4
922,3
923,5
924,2
925,0
926,0
927,4
928,4
929,9
930,8
931,5
932,1
933,4
934,1
935,2
936,1
937,5
938,4
939,9
940,9
941,5
942,1
943,8
944,1
945,5
946,7
947,4
948,5
949,6
950,7
951,6
952,3
953,8
954,3
955,4
956,2
957,3
958,6
959,3
960,6
961,8
962,3
963,4
964,2
965,4
966,0
967,1
968,9
969,1
970,7
971,7
972,2
973,7
974,2
975,4
976,1
977,0
978,4
979,6
980,2
981,5
982,6
983,0
984,3
985,1
986,4
987,1
988,2
989,1
990,5
991,5
992,7
993,4
994,3
995,0
996,3
997,7
998,0
999,2
1000,8
1001,6
1002,1
1003,8
1004,4
1005,0
1006,9
1007,0
1008,4
1009,1
1010,5
1011,3
1012,9
1013,4
1014,6
1015,5
1016,0
1017,5
1018,0
1019,1
1020,4
1021,8
1022,1
1023,0
1024,5
1025,8
1026,9
1027,6
1028,5
1029,4
1030,5
1031,5
1032,8
1033,3
1034,1
1035,9
1036,9
1037,2
1038,0
1039,3
1040,9
1041,3
1042,4
1043,3
1044,0
1045,6
1046,6
1047,5
1048,9
1049,3
1050,9
1051,2
1052,5
1053,9
1054,6
1055,3
1056,6
1057,9
1058,8
1059,2
1060,6
1061,8
1062,4
1063,1
1064,1
1065,3
1066,5
1067,8
1068,0
1069,4
1070,5
1071,4
1072,0
1073,2
1074,0
1075,6
1076,2
1077,1
1078,2
1079,3
1080,1
1081,1
1082,0
1083,5
1084,4
1085,4
1086,0
1087,6
1088,7
1089,1
1090,7
1091,2
1092,3
1093,6
1094,4
1095,8
1096,1
1097,8
1098,3
1099,7
1100,0
1101,2
1102,9
1103,5
1104,1
1105,3
1106,8
1107,6
1108,9
1109,7
1110,8
1111,0
1112,2
1113,9
1114,9
1115,9
1116,1
1117,0
1118,1
1119,5
1120,5
1121,4
1122,2
1123,4
1124,5
1125,3
1126,8
1127,6
1128,7
1129,9
1130,5
1131,2
1132,5
1133,1
1134,1
1135,2
1136,5
1137,0
1138,6
1139,9
1140,8
1141,8
1142,7
1143,1
1144,8
1145,9
1146,9
1147,2
1148,1
1149,3
1150,9
1151,2
1152,3
1153,4
1154,6
1155,1
1156,0
1157,9
1158,4
1159,1
1160,2
1161,3
1162,7
1163,9
1164,7
1165,6
1166,7
1167,6
1168,3
1169,4
1170,9
1171,6
1172,6
1173,9
1174,0
1175,4
1176,7
1177,7
1178,8
1179,9
1180,3
1181,0
1182,3
1183,2
1184,2
1185,4
1186,3
1187,0
1188,7
1189,9
1190,6
1191,1
1192,0
1193,8
1194,3
1195,3
1196,5
1197,2
1198,1
1199,2
1200,2
1201,2
1202,7
1203,1
1204,8
1205,3
1206,5
1207,5
1208,7
1209,6
1210,2
1211,2
1212,0
1213,1
1214,7
1215,5
1216,3
1217,7
1218,0
1219,1
1220,1
1221,9
1222,4
1223,8
1224,1
1225,1
1226,4
1227,3
1228,7
1229,2
1230,7
1231,3
1232,4
1233,7
1234,1
1235,0
1236,5
1237,6
1238,9
1239,7
1240,9
1241,0
1242,5
1243,9
1244,3
1245,4
1246,4
1247,5
1248,9
1249,9
1250,9
1251,4
1252,5
1253,2
1254,7
1255,3
1256,0
1257,3
1258,3
1259,8
1260,1
1261,4
1262,8
1263,1
1264,6
1265,0
1266,1
1267,6
1268,8
1269,0
1270,7
1271,7
1272,3
1273,6
1274,1
1275,0
1276,6
1277,3
1278,9
1279,3
1280,4
1281,7
1282,5
1283,6
1284,4
1285,2
1286,2
1287,2
1288,5
1289,3
1290,7
1291,8
1292,0
1293,0
1294,6
1295,1
1296,6
1297,4
1298,4
1299,0
1300,4
1301,0
1302,5
1303,5
1304,1
1305,7
1306,1
1307,4
1308,1
1309,8
1310,4
1311,9
1312,8
1313,0
1314,3
1315,5
1316,7
1317,4
1318,4
1319,6
1320,3
1321,8
1322,6
1323,9
1324,3
1325,8
1326,5
1327,6
1328,1
1329,9
1330,9
1331,3
1332,7
1333,7
1334,2
1335,7
1336,2
1337,2
1338,0
1339,6
1340,7
1341,0
1342,1
1343,5
1344,6
1345,2
1346,6
1347,7
1348,5
1349,5
1350,7
1351,6
1352,9
1353,7
1354,9
1355,4
1356,1
1357,3
1358,2
1359,6
1360,1
1361,5
1362,9
1363,9
1364,7
1365,8
1366,7
1367,0
1368,5
1369,4
1370,5
1371,7
1372,6
1373,5
1374,6
1375,0
1376,4
1377,7
1378,5
1379,1
1380,0
1381,1
1382,1
1383,9
1384,4
1385,8
1386,3
1387,5
1388,1
1389,7
1390,4
1391,4
1392,2
1393,9
1394,9
1395,5
1396,1
1397,7
1398,5
1399,9
1400,6
1401,2
1402,1
1403,4
1404,1
1405,5
1406,3
1407,9
1408,7
1409,7
1410,4
1411,3
1412,2
1413,6
1414,9
1415,1
1416,3
1417,5
1418,7
1419,0
1420,3
1421,4
1422,3
1423,5
1424,9
1425,1
1426,6
1427,5
1428,7
1429,2
1430,0
1431,0
1432,5
1433,2
1434,2
1435,8
1436,4
1437,4
1438,4
1439,4
1440,2
1441,4
1442,5
1443,9
1444,3
1445,9
1446,6
1447,7
1448,4
1449,0
1450,3
1451,4
1452,8
1453,7
1454,6
1455,1
1456,8
1457,7
1458,6
1459,0
1460,3
1461,0
1462,3
1463,5
1464,3
1465,4
1466,2
1467,8
1468,8
1469,0
1470,2
1471,8
1472,3
1473,9
1474,2
1475,9
1476,7
1477,8
1478,2
1479,6
1480,1
1481,2
1482,4
1483,1
1484,3
1485,4
1486,3
1487,2
1488,0
1489,8
1490,8
1491,4
1492,6
1493,8
1494,0
1495,7
1496,0
1497,5
1498,1
1499,2
1500,2
1501,0
1502,7
1503,6
1504,4
1505,1
1506,8
1507,7
1508,8
1509,2
1510,4
1511,2
1512,0
1513,2
1514,3
1515,5
1516,0
1517,5
1518,7
1519,4
1520,1
1521,7
1522,3
1523,9
1524,9
1525,1
1526,5
1527,0
1528,2
1529,0
1530,3
1531,3
1532,6
1533,4
1534,9
1535,4
1536,8
1537,6
1538,5
1539,2
1540,9
1541,0
1542,8
1543,1
1544,9
1545,8
1546,2
1547,5
1548,4
1549,7
1550,4
1551,8
1552,3
1553,4
1554,5
1555,2
1556,6
1557,4
1558,1
1559,5
1560,0
1561,2
1562,1
1563,2
1564,7
1565,2
1566,2
1567,6
1568,6
1569,0
1570,1
1571,4
1572,6
1573,1
1574,0
1575,2
1576,7
1577,0
1578,6
1579,1
1580,1
1581,9
1582,5
1583,6
1584,7
1585,6
1586,9
1587,5
1588,0
1589,3
1590,9
1591,9
1592,2
1593,6
1594,2
1595,9
1596,7
1597,9
1598,3
1599,2
1600,7
1601,4
1602,1
1603,4
1604,8
1605,7
1606,8
1607,4
1608,5
1609,8
1610,5
1611,6
1612,0
1613,8
1614,9
1615,3
1616,1
1617,5
1618,4
1619,6
1620,6
1621,5
1622,1
1623,8
1624,6
1625,8
1626,3
1627,7
1628,1
1629,1
1630,3
1631,6
1632,0
1633,4
1634,5
