,0
0,6
1,9
2,2
3,1
4,3
5,2
6,2
7,8
8,0
9,6
10,1
11,1
12,2
13,7
14,2
15,8
16,3
17,1
18,9
19,5
20,5
21,1
22,8
23,5
24,0
25,3
26,7
27,7
28,5
29,4
30,5
31,7
32,3
33,5
34,7
35,8
36,0
37,2
38,1
39,4
40,0
41,9
42,1
43,7
44,9
45,1
46,6
47,7
48,1
49,3
50,5
51,9
52,2
53,4
54,0
55,3
56,5
57,1
58,4
59,2
60,1
61,4
62,0
63,1
64,1
65,7
66,3
67,7
68,1
69,3
70,3
71,0
72,4
73,9
74,4
75,6
76,8
77,2
78,9
79,5
80,1
81,9
82,5
83,0
84,7
85,2
86,3
87,4
88,8
89,6
90,7
91,2
92,5
93,5
94,8
95,0
96,1
97,4
98,7
99,3
100,6
101,6
102,5
103,1
104,9
105,3
106,0
107,3
108,8
109,9
110,7
111,1
112,3
113,0
114,5
115,7
116,4
117,0
118,4
119,9
120,9
121,8
122,2
123,8
124,3
125,1
126,5
127,8
128,3
129,7
130,5
131,0
132,3
133,5
134,4
135,4
136,2
137,5
138,9
139,6
140,6
141,0
142,2
143,4
144,1
145,9
146,8
147,5
148,0
149,3
150,8
151,3
152,0
153,1
154,1
155,2
156,9
157,6
158,1
159,1
160,0
161,7
162,2
163,8
164,2
165,7
166,2
167,1
168,4
169,1
170,8
171,6
172,7
173,7
174,6
175,3
176,2
177,4
178,1
179,4
180,5
181,8
182,3
183,5
184,4
185,8
186,4
187,6
188,6
189,1
190,7
191,5
192,5
193,1
194,3
195,2
196,2
197,7
198,0
199,0
200,2
201,9
202,1
203,3
204,3
205,3
206,3
207,9
208,3
209,4
210,1
211,2
212,6
213,8
214,1
215,9
216,5
217,4
218,7
219,9
220,0
221,7
222,2
223,9
224,9
225,1
226,4
227,0
228,6
229,7
230,8
231,7
232,9
233,7
234,2
235,4
236,4
237,4
238,6
239,3
240,1
241,9
242,3
243,6
244,6
245,3
246,2
247,8
248,2
249,8
250,2
251,4
252,0
253,6
254,0
255,7
256,5
257,5
258,0
259,1
260,6
261,5
262,2
263,3
